Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,5' UTR start,5' UTR end,3' UTR start,3' UTR end,CDS Length,Gene start (bp),Gene end (bp),Chromosome/scaffold name,Transcript start (bp),Transcript end (bp),Gene type,Strand
ENSG00000271254,ENSG00000271254.7,ENST00000612640,ENST00000612640.4,,,,,2019,4612,29626,KI270711.1,6101,29626,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000612640,ENST00000612640.4,,,,,2019,4612,29626,KI270711.1,6101,29626,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000612640,ENST00000612640.4,,,,,2019,4612,29626,KI270711.1,6101,29626,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000612640,ENST00000612640.4,,,,,2019,4612,29626,KI270711.1,6101,29626,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000612640,ENST00000612640.4,,,,,2019,4612,29626,KI270711.1,6101,29626,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000612640,ENST00000612640.4,,,,,2019,4612,29626,KI270711.1,6101,29626,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000612640,ENST00000612640.4,,,,,2019,4612,29626,KI270711.1,6101,29626,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000612640,ENST00000612640.4,,,,,2019,4612,29626,KI270711.1,6101,29626,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000612640,ENST00000612640.4,,,,,2019,4612,29626,KI270711.1,6101,29626,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000612640,ENST00000612640.4,,,,,2019,4612,29626,KI270711.1,6101,29626,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000612640,ENST00000612640.4,,,,,2019,4612,29626,KI270711.1,6101,29626,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000612640,ENST00000612640.4,29591,29626,,,2019,4612,29626,KI270711.1,6101,29626,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000612640,ENST00000612640.4,29454,29488,,,2019,4612,29626,KI270711.1,6101,29626,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000612640,ENST00000612640.4,,,,,2019,4612,29626,KI270711.1,6101,29626,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000612640,ENST00000612640.4,,,,,2019,4612,29626,KI270711.1,6101,29626,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000612640,ENST00000612640.4,,,6101,6126,2019,4612,29626,KI270711.1,6101,29626,protein_coding,-1
ENSG00000269823,ENSG00000269823.1,ENST00000599578,ENST00000599578.1,153790844,153791310,,,423,153789602,153791310,CHR_HSCHR1_1_CTG31,153789602,153791310,protein_coding,-1
ENSG00000269823,ENSG00000269823.1,ENST00000599578,ENST00000599578.1,,,153790156,153790309,423,153789602,153791310,CHR_HSCHR1_1_CTG31,153789602,153791310,protein_coding,-1
ENSG00000269823,ENSG00000269823.1,ENST00000599578,ENST00000599578.1,,,153789869,153789942,423,153789602,153791310,CHR_HSCHR1_1_CTG31,153789602,153791310,protein_coding,-1
ENSG00000269823,ENSG00000269823.1,ENST00000599578,ENST00000599578.1,,,153789602,153789669,423,153789602,153791310,CHR_HSCHR1_1_CTG31,153789602,153791310,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000621424,ENST00000621424.4,161689,161852,,,1803,138082,161852,KI270734.1,138082,161852,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000621424,ENST00000621424.4,161587,161626,,,1803,138082,161852,KI270734.1,138082,161852,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000621424,ENST00000621424.4,,,,,1803,138082,161852,KI270734.1,138082,161852,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000621424,ENST00000621424.4,,,,,1803,138082,161852,KI270734.1,138082,161852,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000621424,ENST00000621424.4,,,,,1803,138082,161852,KI270734.1,138082,161852,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000621424,ENST00000621424.4,,,,,1803,138082,161852,KI270734.1,138082,161852,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000621424,ENST00000621424.4,,,,,1803,138082,161852,KI270734.1,138082,161852,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000621424,ENST00000621424.4,,,,,1803,138082,161852,KI270734.1,138082,161852,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000621424,ENST00000621424.4,,,,,1803,138082,161852,KI270734.1,138082,161852,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000621424,ENST00000621424.4,,,,,1803,138082,161852,KI270734.1,138082,161852,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000621424,ENST00000621424.4,,,,,1803,138082,161852,KI270734.1,138082,161852,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000621424,ENST00000621424.4,,,,,1803,138082,161852,KI270734.1,138082,161852,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000621424,ENST00000621424.4,,,,,1803,138082,161852,KI270734.1,138082,161852,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000621424,ENST00000621424.4,,,,,1803,138082,161852,KI270734.1,138082,161852,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000621424,ENST00000621424.4,,,138082,138479,1803,138082,161852,KI270734.1,138082,161852,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000615165,ENST00000615165.1,,,,,1479,138082,161852,KI270734.1,138082,161750,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000615165,ENST00000615165.1,,,,,1479,138082,161852,KI270734.1,138082,161750,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000615165,ENST00000615165.1,,,,,1479,138082,161852,KI270734.1,138082,161750,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000615165,ENST00000615165.1,,,,,1479,138082,161852,KI270734.1,138082,161750,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000615165,ENST00000615165.1,,,,,1479,138082,161852,KI270734.1,138082,161750,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000615165,ENST00000615165.1,,,,,1479,138082,161852,KI270734.1,138082,161750,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000615165,ENST00000615165.1,,,,,1479,138082,161852,KI270734.1,138082,161750,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000615165,ENST00000615165.1,,,,,1479,138082,161852,KI270734.1,138082,161750,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000615165,ENST00000615165.1,,,,,1479,138082,161852,KI270734.1,138082,161750,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000615165,ENST00000615165.1,,,,,1479,138082,161852,KI270734.1,138082,161750,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000615165,ENST00000615165.1,,,,,1479,138082,161852,KI270734.1,138082,161750,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000615165,ENST00000615165.1,,,138082,138479,1479,138082,161852,KI270734.1,138082,161750,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000615165,ENST00000615165.1,161689,161750,,,1479,138082,161852,KI270734.1,138082,161750,protein_coding,-1
ENSG00000277196,ENSG00000277196.4,ENST00000615165,ENST00000615165.1,156447,156497,,,1479,138082,161852,KI270734.1,138082,161750,protein_coding,-1
ENSG00000277630,ENSG00000277630.4,ENST00000616049,ENST00000616049.4,139288,139655,,,1755,108007,139659,GL000213.1,108007,139655,protein_coding,-1
ENSG00000277630,ENSG00000277630.4,ENST00000616049,ENST00000616049.4,,,,,1755,108007,139659,GL000213.1,108007,139655,protein_coding,-1
ENSG00000277630,ENSG00000277630.4,ENST00000616049,ENST00000616049.4,,,,,1755,108007,139659,GL000213.1,108007,139655,protein_coding,-1
ENSG00000277630,ENSG00000277630.4,ENST00000616049,ENST00000616049.4,,,,,1755,108007,139659,GL000213.1,108007,139655,protein_coding,-1
ENSG00000277630,ENSG00000277630.4,ENST00000616049,ENST00000616049.4,,,,,1755,108007,139659,GL000213.1,108007,139655,protein_coding,-1
ENSG00000277630,ENSG00000277630.4,ENST00000616049,ENST00000616049.4,,,,,1755,108007,139659,GL000213.1,108007,139655,protein_coding,-1
ENSG00000277630,ENSG00000277630.4,ENST00000616049,ENST00000616049.4,,,,,1755,108007,139659,GL000213.1,108007,139655,protein_coding,-1
ENSG00000277630,ENSG00000277630.4,ENST00000616049,ENST00000616049.4,,,,,1755,108007,139659,GL000213.1,108007,139655,protein_coding,-1
ENSG00000277630,ENSG00000277630.4,ENST00000616049,ENST00000616049.4,,,,,1755,108007,139659,GL000213.1,108007,139655,protein_coding,-1
ENSG00000277630,ENSG00000277630.4,ENST00000616049,ENST00000616049.4,,,,,1755,108007,139659,GL000213.1,108007,139655,protein_coding,-1
ENSG00000277630,ENSG00000277630.4,ENST00000616049,ENST00000616049.4,,,108007,108025,1755,108007,139659,GL000213.1,108007,139655,protein_coding,-1
ENSG00000277630,ENSG00000277630.4,ENST00000616157,ENST00000616157.1,,,,,1146,108007,139659,GL000213.1,123983,139659,protein_coding,-1
ENSG00000277630,ENSG00000277630.4,ENST00000616157,ENST00000616157.1,,,,,1146,108007,139659,GL000213.1,123983,139659,protein_coding,-1
ENSG00000277630,ENSG00000277630.4,ENST00000616157,ENST00000616157.1,,,,,1146,108007,139659,GL000213.1,123983,139659,protein_coding,-1
ENSG00000277630,ENSG00000277630.4,ENST00000616157,ENST00000616157.1,,,,,1146,108007,139659,GL000213.1,123983,139659,protein_coding,-1
ENSG00000277630,ENSG00000277630.4,ENST00000616157,ENST00000616157.1,,,,,1146,108007,139659,GL000213.1,123983,139659,protein_coding,-1
ENSG00000277630,ENSG00000277630.4,ENST00000616157,ENST00000616157.1,139288,139659,,,1146,108007,139659,GL000213.1,123983,139659,protein_coding,-1
ENSG00000277630,ENSG00000277630.4,ENST00000616157,ENST00000616157.1,,,124992,125192,1146,108007,139659,GL000213.1,123983,139659,protein_coding,-1
ENSG00000277630,ENSG00000277630.4,ENST00000616157,ENST00000616157.1,,,123983,124252,1146,108007,139659,GL000213.1,123983,139659,protein_coding,-1
ENSG00000278817,ENSG00000278817.1,ENST00000613204,ENST00000613204.1,131494,131645,,,663,131494,137392,KI270734.1,131494,137392,protein_coding,1
ENSG00000278817,ENSG00000278817.1,ENST00000613204,ENST00000613204.1,,,,,663,131494,137392,KI270734.1,131494,137392,protein_coding,1
ENSG00000278817,ENSG00000278817.1,ENST00000613204,ENST00000613204.1,,,,,663,131494,137392,KI270734.1,131494,137392,protein_coding,1
ENSG00000278817,ENSG00000278817.1,ENST00000613204,ENST00000613204.1,,,,,663,131494,137392,KI270734.1,131494,137392,protein_coding,1
ENSG00000278817,ENSG00000278817.1,ENST00000613204,ENST00000613204.1,,,136995,137392,663,131494,137392,KI270734.1,131494,137392,protein_coding,1
ENSG00000276017,ENSG00000276017.1,ENST00000617983,ENST00000617983.1,72411,72837,74125,74814,1287,72411,74814,KI270734.1,72411,74814,protein_coding,1
ENSG00000276256,ENSG00000276256.1,ENST00000612465,ENST00000612465.1,49118,49164,,,363,42939,49164,GL000195.1,42939,49164,protein_coding,-1
ENSG00000276256,ENSG00000276256.1,ENST00000612465,ENST00000612465.1,,,42939,44723,363,42939,49164,GL000195.1,42939,49164,protein_coding,-1
ENSG00000275049,ENSG00000275049.1,ENST00000610645,ENST00000610645.1,82412936,82412947,,,396,82403250,82412947,CHR_HSCHR15_5_CTG8,82403250,82412947,protein_coding,-1
ENSG00000275049,ENSG00000275049.1,ENST00000610645,ENST00000610645.1,,,,,396,82403250,82412947,CHR_HSCHR15_5_CTG8,82403250,82412947,protein_coding,-1
ENSG00000275049,ENSG00000275049.1,ENST00000610645,ENST00000610645.1,,,,,396,82403250,82412947,CHR_HSCHR15_5_CTG8,82403250,82412947,protein_coding,-1
ENSG00000275049,ENSG00000275049.1,ENST00000610645,ENST00000610645.1,,,82403250,82403339,396,82403250,82412947,CHR_HSCHR15_5_CTG8,82403250,82412947,protein_coding,-1
ENSG00000268674,ENSG00000268674.2,ENST00000601199,ENST00000601199.2,,,,,510,35407,35916,KI270713.1,35407,35916,protein_coding,1
ENSG00000277475,ENSG00000277475.1,ENST00000612315,ENST00000612315.1,32373,32528,31698,31841,531,31698,32528,KI270713.1,31698,32528,protein_coding,-1
ENSG00000278633,ENSG00000278633.1,ENST00000619792,ENST00000619792.1,12575,13001,10598,11287,1287,10598,13001,KI270731.1,10598,13001,protein_coding,-1
ENSG00000272000,ENSG00000272000.6,ENST00000607223,ENST00000607223.6,42142931,42143020,,,1494,42138640,42143020,CHR_HSCHR22_2_CTG1,42138640,42143020,protein_coding,-1
ENSG00000272000,ENSG00000272000.6,ENST00000607223,ENST00000607223.6,,,,,1494,42138640,42143020,CHR_HSCHR22_2_CTG1,42138640,42143020,protein_coding,-1
ENSG00000272000,ENSG00000272000.6,ENST00000607223,ENST00000607223.6,,,,,1494,42138640,42143020,CHR_HSCHR22_2_CTG1,42138640,42143020,protein_coding,-1
ENSG00000272000,ENSG00000272000.6,ENST00000607223,ENST00000607223.6,,,,,1494,42138640,42143020,CHR_HSCHR22_2_CTG1,42138640,42143020,protein_coding,-1
ENSG00000272000,ENSG00000272000.6,ENST00000607223,ENST00000607223.6,,,,,1494,42138640,42143020,CHR_HSCHR22_2_CTG1,42138640,42143020,protein_coding,-1
ENSG00000272000,ENSG00000272000.6,ENST00000607223,ENST00000607223.6,,,,,1494,42138640,42143020,CHR_HSCHR22_2_CTG1,42138640,42143020,protein_coding,-1
ENSG00000272000,ENSG00000272000.6,ENST00000607223,ENST00000607223.6,,,,,1494,42138640,42143020,CHR_HSCHR22_2_CTG1,42138640,42143020,protein_coding,-1
ENSG00000272000,ENSG00000272000.6,ENST00000607223,ENST00000607223.6,,,,,1494,42138640,42143020,CHR_HSCHR22_2_CTG1,42138640,42143020,protein_coding,-1
ENSG00000272000,ENSG00000272000.6,ENST00000607223,ENST00000607223.6,,,42138640,42138712,1494,42138640,42143020,CHR_HSCHR22_2_CTG1,42138640,42143020,protein_coding,-1
ENSG00000272000,ENSG00000272000.6,ENST00000606649,ENST00000606649.2,42142931,42143020,,,1341,42138640,42143020,CHR_HSCHR22_2_CTG1,42138640,42143020,protein_coding,-1
ENSG00000272000,ENSG00000272000.6,ENST00000606649,ENST00000606649.2,,,,,1341,42138640,42143020,CHR_HSCHR22_2_CTG1,42138640,42143020,protein_coding,-1
ENSG00000272000,ENSG00000272000.6,ENST00000606649,ENST00000606649.2,,,,,1341,42138640,42143020,CHR_HSCHR22_2_CTG1,42138640,42143020,protein_coding,-1
ENSG00000272000,ENSG00000272000.6,ENST00000606649,ENST00000606649.2,,,,,1341,42138640,42143020,CHR_HSCHR22_2_CTG1,42138640,42143020,protein_coding,-1
ENSG00000272000,ENSG00000272000.6,ENST00000606649,ENST00000606649.2,,,,,1341,42138640,42143020,CHR_HSCHR22_2_CTG1,42138640,42143020,protein_coding,-1
ENSG00000272000,ENSG00000272000.6,ENST00000606649,ENST00000606649.2,,,,,1341,42138640,42143020,CHR_HSCHR22_2_CTG1,42138640,42143020,protein_coding,-1
ENSG00000272000,ENSG00000272000.6,ENST00000606649,ENST00000606649.2,,,,,1341,42138640,42143020,CHR_HSCHR22_2_CTG1,42138640,42143020,protein_coding,-1
ENSG00000272000,ENSG00000272000.6,ENST00000606649,ENST00000606649.2,,,42138640,42138712,1341,42138640,42143020,CHR_HSCHR22_2_CTG1,42138640,42143020,protein_coding,-1
ENSG00000274700,ENSG00000274700.1,ENST00000617112,ENST00000617112.1,,,,,78,28315693,28315770,CHR_HSCHR15_1_CTG8,28315693,28315770,protein_coding,1
ENSG00000273748,ENSG00000273748.1,ENST00000612919,ENST00000612919.1,,,,,372,54224,83311,GL000219.1,54224,83311,protein_coding,-1
ENSG00000273748,ENSG00000273748.1,ENST00000612919,ENST00000612919.1,,,,,372,54224,83311,GL000219.1,54224,83311,protein_coding,-1
ENSG00000273748,ENSG00000273748.1,ENST00000612919,ENST00000612919.1,,,,,372,54224,83311,GL000219.1,54224,83311,protein_coding,-1
ENSG00000273748,ENSG00000273748.1,ENST00000612919,ENST00000612919.1,,,,,372,54224,83311,GL000219.1,54224,83311,protein_coding,-1
ENSG00000276565,ENSG00000276565.1,ENST00000617253,ENST00000617253.1,1586202,1587119,,,597,1586202,1591699,CHR_HSCHR11_1_CTG6,1586202,1591699,protein_coding,1
ENSG00000276565,ENSG00000276565.1,ENST00000617253,ENST00000617253.1,1590442,1590540,,,597,1586202,1591699,CHR_HSCHR11_1_CTG6,1586202,1591699,protein_coding,1
ENSG00000276565,ENSG00000276565.1,ENST00000617253,ENST00000617253.1,,,1591139,1591699,597,1586202,1591699,CHR_HSCHR11_1_CTG6,1586202,1591699,protein_coding,1
ENSG00000276066,ENSG00000276066.4,ENST00000612436,ENST00000612436.4,54063778,54063953,,,711,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000612436,ENST00000612436.4,,,,,711,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000612436,ENST00000612436.4,,,,,711,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000612436,ENST00000612436.4,,,,,711,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000612436,ENST00000612436.4,,,,,711,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000612436,ENST00000612436.4,,,,,711,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000612436,ENST00000612436.4,,,,,711,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000612436,ENST00000612436.4,,,,,711,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000612436,ENST00000612436.4,,,54040833,54040960,711,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000615508,ENST00000615508.4,54063778,54063953,,,618,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000615508,ENST00000615508.4,,,,,618,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000615508,ENST00000615508.4,,,,,618,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000615508,ENST00000615508.4,,,,,618,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000615508,ENST00000615508.4,,,,,618,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000615508,ENST00000615508.4,,,,,618,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000615508,ENST00000615508.4,,,,,618,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000615508,ENST00000615508.4,,,54040833,54040960,618,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000618109,ENST00000618109.4,,,,,447,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54053196,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000618109,ENST00000618109.4,,,,,447,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54053196,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000618109,ENST00000618109.4,,,,,447,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54053196,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000618109,ENST00000618109.4,,,,,447,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54053196,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000618109,ENST00000618109.4,,,,,447,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54053196,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000618109,ENST00000618109.4,,,54040833,54040960,447,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54053196,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000618109,ENST00000618109.4,,,,,447,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54053196,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000618109,ENST00000618109.4,,,,,447,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040833,54053196,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000616582,ENST00000616582.4,54063778,54063953,,,351,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040834,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000616582,ENST00000616582.4,,,,,351,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040834,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000616582,ENST00000616582.4,,,,,351,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040834,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000616582,ENST00000616582.4,,,,,351,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040834,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000616582,ENST00000616582.4,,,,,351,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040834,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000616582,ENST00000616582.4,,,54040834,54040960,351,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54040834,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000610857,ENST00000610857.1,54063778,54063953,,,432,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54048366,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000610857,ENST00000610857.1,,,,,432,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54048366,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000610857,ENST00000610857.1,,,,,432,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54048366,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000610857,ENST00000610857.1,,,,,432,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54048366,54063953,protein_coding,-1
ENSG00000276066,ENSG00000276066.4,ENST00000610857,ENST00000610857.1,,,,,432,54040833,54063953,CHR_HSCHR19LRC_LRC_I_CTG3_1,54048366,54063953,protein_coding,-1
ENSG00000278384,ENSG00000278384.1,ENST00000612565,ENST00000612565.1,54215,54893,51867,53482,732,51867,54893,GL000218.1,51867,54893,protein_coding,-1
ENSG00000274638,ENSG00000274638.4,ENST00000619454,ENST00000619454.4,54970903,54970996,,,3189,54970903,55006759,CHR_HSCHR19LRC_LRC_I_CTG3_1,54970903,55006759,protein_coding,1
ENSG00000274638,ENSG00000274638.4,ENST00000619454,ENST00000619454.4,54975618,54975634,,,3189,54970903,55006759,CHR_HSCHR19LRC_LRC_I_CTG3_1,54970903,55006759,protein_coding,1
ENSG00000274638,ENSG00000274638.4,ENST00000619454,ENST00000619454.4,,,,,3189,54970903,55006759,CHR_HSCHR19LRC_LRC_I_CTG3_1,54970903,55006759,protein_coding,1
ENSG00000274638,ENSG00000274638.4,ENST00000619454,ENST00000619454.4,,,,,3189,54970903,55006759,CHR_HSCHR19LRC_LRC_I_CTG3_1,54970903,55006759,protein_coding,1
