Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,5' UTR start,5' UTR end,3' UTR start,3' UTR end,Gene start (bp),Gene end (bp),Transcript start (bp),Transcript end (bp),Gene type,Strand,Chromosome/scaffold name
ENSMUSG00000094874,ENSMUSG00000094874.2,ENSMUST00000178199,ENSMUST00000178199.2,,,,,30394,32306,30394,32306,protein_coding,-1,GL456221.1
ENSMUSG00000094337,ENSMUSG00000094337.8,ENSMUST00000179140,ENSMUST00000179140.8,,,,,82993,86051,82993,86051,protein_coding,-1,GL456354.1
ENSMUSG00000094337,ENSMUSG00000094337.8,ENSMUST00000179140,ENSMUST00000179140.8,,,,,82993,86051,82993,86051,protein_coding,-1,GL456354.1
ENSMUSG00000094337,ENSMUSG00000094337.8,ENSMUST00000179140,ENSMUST00000179140.8,,,,,82993,86051,82993,86051,protein_coding,-1,GL456354.1
ENSMUSG00000094337,ENSMUSG00000094337.8,ENSMUST00000164489,ENSMUST00000164489.3,,,,,82993,86051,82993,86051,protein_coding,-1,GL456354.1
ENSMUSG00000094337,ENSMUSG00000094337.8,ENSMUST00000164489,ENSMUST00000164489.3,,,,,82993,86051,82993,86051,protein_coding,-1,GL456354.1
ENSMUSG00000094383,ENSMUSG00000094383.2,ENSMUST00000168953,ENSMUST00000168953.3,,,,,90482,93220,90482,93220,protein_coding,1,JH584299.1
ENSMUSG00000094383,ENSMUSG00000094383.2,ENSMUST00000168953,ENSMUST00000168953.3,,,,,90482,93220,90482,93220,protein_coding,1,JH584299.1
ENSMUSG00000094383,ENSMUSG00000094383.2,ENSMUST00000168953,ENSMUST00000168953.3,,,,,90482,93220,90482,93220,protein_coding,1,JH584299.1
ENSMUSG00000096756,ENSMUSG00000096756.2,ENSMUST00000177719,ENSMUST00000177719.2,,,,,108318,111392,108318,111392,protein_coding,-1,JH584297.1
ENSMUSG00000096756,ENSMUSG00000096756.2,ENSMUST00000177719,ENSMUST00000177719.2,,,,,108318,111392,108318,111392,protein_coding,-1,JH584297.1
ENSMUSG00000096756,ENSMUSG00000096756.2,ENSMUST00000177719,ENSMUST00000177719.2,,,,,108318,111392,108318,111392,protein_coding,-1,JH584297.1
ENSMUSG00000095672,ENSMUSG00000095672.2,ENSMUST00000178603,ENSMUST00000178603.2,,,,,160465,162404,160465,162404,protein_coding,-1,GL456211.1
ENSMUSG00000095672,ENSMUSG00000095672.2,ENSMUST00000178603,ENSMUST00000178603.2,,,,,160465,162404,160465,162404,protein_coding,-1,GL456211.1
ENSMUSG00000095500,ENSMUSG00000095500.2,ENSMUST00000178309,ENSMUST00000178309.2,,,,,32239,47294,32239,47294,protein_coding,1,GL456221.1
ENSMUSG00000095500,ENSMUSG00000095500.2,ENSMUST00000178309,ENSMUST00000178309.2,,,,,32239,47294,32239,47294,protein_coding,1,GL456221.1
ENSMUSG00000095500,ENSMUSG00000095500.2,ENSMUST00000178309,ENSMUST00000178309.2,,,,,32239,47294,32239,47294,protein_coding,1,GL456221.1
ENSMUSG00000095505,ENSMUSG00000095505.2,ENSMUST00000178335,ENSMUST00000178335.2,,,,,195181,197903,195181,197903,protein_coding,-1,JH584296.1
ENSMUSG00000095505,ENSMUSG00000095505.2,ENSMUST00000178335,ENSMUST00000178335.2,,,,,195181,197903,195181,197903,protein_coding,-1,JH584296.1
ENSMUSG00000079190,ENSMUSG00000079190.4,ENSMUST00000111360,ENSMUST00000111360.3,,,,,167446,196478,167446,196478,protein_coding,1,GL456211.1
ENSMUSG00000079190,ENSMUSG00000079190.4,ENSMUST00000111360,ENSMUST00000111360.3,,,196309,196478,167446,196478,167446,196478,protein_coding,1,GL456211.1
ENSMUSG00000079190,ENSMUSG00000079190.4,ENSMUST00000111360,ENSMUST00000111360.3,,,,,167446,196478,167446,196478,protein_coding,1,GL456211.1
ENSMUSG00000079190,ENSMUSG00000079190.4,ENSMUST00000111360,ENSMUST00000111360.3,,,,,167446,196478,167446,196478,protein_coding,1,GL456211.1
ENSMUSG00000079190,ENSMUSG00000079190.4,ENSMUST00000111360,ENSMUST00000111360.3,,,,,167446,196478,167446,196478,protein_coding,1,GL456211.1
ENSMUSG00000079190,ENSMUSG00000079190.4,ENSMUST00000111360,ENSMUST00000111360.3,167446,167956,,,167446,196478,167446,196478,protein_coding,1,GL456211.1
ENSMUSG00000079190,ENSMUSG00000079190.4,ENSMUST00000111360,ENSMUST00000111360.3,,,,,167446,196478,167446,196478,protein_coding,1,GL456211.1
ENSMUSG00000095450,ENSMUSG00000095450.2,ENSMUST00000179292,ENSMUST00000179292.2,,,,,46295,46666,46295,46666,protein_coding,-1,GL456221.1
ENSMUSG00000094474,ENSMUSG00000094474.2,ENSMUST00000177582,ENSMUST00000177582.2,,,,,173050,176134,173050,176134,protein_coding,1,JH584299.1
ENSMUSG00000094474,ENSMUSG00000094474.2,ENSMUST00000177582,ENSMUST00000177582.2,,,,,173050,176134,173050,176134,protein_coding,1,JH584299.1
ENSMUSG00000094474,ENSMUSG00000094474.2,ENSMUST00000177582,ENSMUST00000177582.2,,,,,173050,176134,173050,176134,protein_coding,1,JH584299.1
ENSMUSG00000095570,ENSMUSG00000095570.2,ENSMUST00000179972,ENSMUST00000179972.2,,,,,146926,149659,146926,149659,protein_coding,-1,GL456354.1
ENSMUSG00000095570,ENSMUSG00000095570.2,ENSMUST00000179972,ENSMUST00000179972.2,,,,,146926,149659,146926,149659,protein_coding,-1,GL456354.1
ENSMUSG00000095570,ENSMUSG00000095570.2,ENSMUST00000179972,ENSMUST00000179972.2,,,,,146926,149659,146926,149659,protein_coding,-1,GL456354.1
ENSMUSG00000094728,ENSMUSG00000094728.2,ENSMUST00000180119,ENSMUST00000180119.2,,,,,58743,59114,58743,59114,protein_coding,1,GL456221.1
ENSMUSG00000094514,ENSMUSG00000094514.2,ENSMUST00000178645,ENSMUST00000178645.2,,,,,226405,229375,226405,229375,protein_coding,-1,GL456211.1
ENSMUSG00000094514,ENSMUSG00000094514.2,ENSMUST00000178645,ENSMUST00000178645.2,,,,,226405,229375,226405,229375,protein_coding,-1,GL456211.1
ENSMUSG00000062783,ENSMUSG00000062783.3,ENSMUST00000078827,ENSMUST00000078827.3,114054,114076,111572,113162,111572,163011,111572,163011,protein_coding,-1,GL456221.1
ENSMUSG00000062783,ENSMUSG00000062783.3,ENSMUST00000078827,ENSMUST00000078827.3,162798,163011,,,111572,163011,111572,163011,protein_coding,-1,GL456221.1
ENSMUSG00000094791,ENSMUSG00000094791.2,ENSMUST00000179677,ENSMUST00000179677.2,,,,,314841,317584,314841,317584,protein_coding,1,JH584299.1
ENSMUSG00000094791,ENSMUSG00000094791.2,ENSMUST00000179677,ENSMUST00000179677.2,,,,,314841,317584,314841,317584,protein_coding,1,JH584299.1
ENSMUSG00000096728,ENSMUSG00000096728.2,ENSMUST00000178296,ENSMUST00000178296.2,,,,,158543,161339,158543,161339,protein_coding,1,GL456354.1
ENSMUSG00000096728,ENSMUSG00000096728.2,ENSMUST00000178296,ENSMUST00000178296.2,,,,,158543,161339,158543,161339,protein_coding,1,GL456354.1
ENSMUSG00000096728,ENSMUSG00000096728.2,ENSMUST00000178296,ENSMUST00000178296.2,,,,,158543,161339,158543,161339,protein_coding,1,GL456354.1
ENSMUSG00000096550,ENSMUSG00000096550.2,ENSMUST00000178337,ENSMUST00000178337.2,,,,,477246,480331,477246,480331,protein_coding,1,JH584299.1
ENSMUSG00000096550,ENSMUSG00000096550.2,ENSMUST00000178337,ENSMUST00000178337.2,,,,,477246,480331,477246,480331,protein_coding,1,JH584299.1
ENSMUSG00000096550,ENSMUSG00000096550.2,ENSMUST00000178337,ENSMUST00000178337.2,,,,,477246,480331,477246,480331,protein_coding,1,JH584299.1
ENSMUSG00000096808,ENSMUSG00000096808.2,ENSMUST00000177921,ENSMUST00000177921.2,,,,,151235,152734,151235,152734,protein_coding,1,GL456221.1
ENSMUSG00000094172,ENSMUSG00000094172.2,ENSMUST00000177843,ENSMUST00000177843.2,,,,,562161,564894,562161,564894,protein_coding,1,JH584299.1
ENSMUSG00000094172,ENSMUSG00000094172.2,ENSMUST00000177843,ENSMUST00000177843.2,,,,,562161,564894,562161,564894,protein_coding,1,JH584299.1
ENSMUSG00000094172,ENSMUSG00000094172.2,ENSMUST00000177843,ENSMUST00000177843.2,,,,,562161,564894,562161,564894,protein_coding,1,JH584299.1
ENSMUSG00000094887,ENSMUSG00000094887.2,ENSMUST00000179700,ENSMUST00000179700.2,587624,587706,,,587624,625594,587624,625594,protein_coding,1,JH584299.1
ENSMUSG00000094887,ENSMUSG00000094887.2,ENSMUST00000179700,ENSMUST00000179700.2,,,624268,625594,587624,625594,587624,625594,protein_coding,1,JH584299.1
ENSMUSG00000094887,ENSMUSG00000094887.2,ENSMUST00000179700,ENSMUST00000179700.2,,,,,587624,625594,587624,625594,protein_coding,1,JH584299.1
ENSMUSG00000094887,ENSMUSG00000094887.2,ENSMUST00000179700,ENSMUST00000179700.2,621861,621885,,,587624,625594,587624,625594,protein_coding,1,JH584299.1
ENSMUSG00000091585,ENSMUSG00000091585.3,ENSMUST00000165454,ENSMUST00000165454.3,,,,,716296,720517,716296,720517,protein_coding,1,JH584299.1
ENSMUSG00000091585,ENSMUSG00000091585.3,ENSMUST00000165454,ENSMUST00000165454.3,,,,,716296,720517,716296,720517,protein_coding,1,JH584299.1
ENSMUSG00000091585,ENSMUSG00000091585.3,ENSMUST00000165454,ENSMUST00000165454.3,,,,,716296,720517,716296,720517,protein_coding,1,JH584299.1
ENSMUSG00000091585,ENSMUSG00000091585.3,ENSMUST00000165454,ENSMUST00000165454.3,,,,,716296,720517,716296,720517,protein_coding,1,JH584299.1
ENSMUSG00000095763,ENSMUSG00000095763.2,ENSMUST00000178318,ENSMUST00000178318.2,,,,,806210,809281,806210,809281,protein_coding,1,JH584299.1
ENSMUSG00000095763,ENSMUSG00000095763.2,ENSMUST00000178318,ENSMUST00000178318.2,,,,,806210,809281,806210,809281,protein_coding,1,JH584299.1
ENSMUSG00000095763,ENSMUSG00000095763.2,ENSMUST00000178318,ENSMUST00000178318.2,,,,,806210,809281,806210,809281,protein_coding,1,JH584299.1
ENSMUSG00000095523,ENSMUSG00000095523.2,ENSMUST00000180303,ENSMUST00000180303.2,,,,,837364,840451,837364,840451,protein_coding,1,JH584299.1
ENSMUSG00000095523,ENSMUSG00000095523.2,ENSMUST00000180303,ENSMUST00000180303.2,,,,,837364,840451,837364,840451,protein_coding,1,JH584299.1
ENSMUSG00000095523,ENSMUSG00000095523.2,ENSMUST00000180303,ENSMUST00000180303.2,,,,,837364,840451,837364,840451,protein_coding,1,JH584299.1
ENSMUSG00000095475,ENSMUSG00000095475.2,ENSMUST00000180208,ENSMUST00000180208.2,,,,,910289,913083,910289,913083,protein_coding,-1,JH584299.1
ENSMUSG00000095475,ENSMUSG00000095475.2,ENSMUST00000180208,ENSMUST00000180208.2,,,,,910289,913083,910289,913083,protein_coding,-1,JH584299.1
ENSMUSG00000095475,ENSMUSG00000095475.2,ENSMUST00000180208,ENSMUST00000180208.2,,,,,910289,913083,910289,913083,protein_coding,-1,JH584299.1
ENSMUSG00000094855,ENSMUSG00000094855.2,ENSMUST00000178327,ENSMUST00000178327.2,,,,,921942,924675,921942,924675,protein_coding,1,JH584299.1
ENSMUSG00000094855,ENSMUSG00000094855.2,ENSMUST00000178327,ENSMUST00000178327.2,,,,,921942,924675,921942,924675,protein_coding,1,JH584299.1
ENSMUSG00000094855,ENSMUSG00000094855.2,ENSMUST00000178327,ENSMUST00000178327.2,,,,,921942,924675,921942,924675,protein_coding,1,JH584299.1
ENSMUSG00000094722,ENSMUSG00000094722.2,ENSMUST00000180291,ENSMUST00000180291.2,,,,,90528,93623,90528,93623,protein_coding,1,JH584298.1
ENSMUSG00000094722,ENSMUSG00000094722.2,ENSMUST00000180291,ENSMUST00000180291.2,,,,,90528,93623,90528,93623,protein_coding,1,JH584298.1
ENSMUSG00000094722,ENSMUSG00000094722.2,ENSMUST00000180291,ENSMUST00000180291.2,,,,,90528,93623,90528,93623,protein_coding,1,JH584298.1
ENSMUSG00000095728,ENSMUSG00000095728.2,ENSMUST00000179146,ENSMUST00000179146.2,,,,,168268,170838,168268,170838,protein_coding,-1,JH584298.1
ENSMUSG00000095728,ENSMUSG00000095728.2,ENSMUST00000179146,ENSMUST00000179146.2,,,,,168268,170838,168268,170838,protein_coding,-1,JH584298.1
ENSMUSG00000095728,ENSMUSG00000095728.2,ENSMUST00000179146,ENSMUST00000179146.2,,,,,168268,170838,168268,170838,protein_coding,-1,JH584298.1
ENSMUSG00000095728,ENSMUSG00000095728.2,ENSMUST00000179146,ENSMUST00000179146.2,,,,,168268,170838,168268,170838,protein_coding,-1,JH584298.1
ENSMUSG00000095076,ENSMUSG00000095076.2,ENSMUST00000177668,ENSMUST00000177668.2,,,,,179693,182203,179693,182203,protein_coding,1,JH584298.1
ENSMUSG00000095076,ENSMUSG00000095076.2,ENSMUST00000177668,ENSMUST00000177668.2,,,,,179693,182203,179693,182203,protein_coding,1,JH584298.1
ENSMUSG00000095076,ENSMUSG00000095076.2,ENSMUST00000177668,ENSMUST00000177668.2,,,,,179693,182203,179693,182203,protein_coding,1,JH584298.1
ENSMUSG00000095076,ENSMUSG00000095076.2,ENSMUST00000177668,ENSMUST00000177668.2,,,,,179693,182203,179693,182203,protein_coding,1,JH584298.1
ENSMUSG00000079800,ENSMUSG00000079800.3,ENSMUST00000096862,ENSMUST00000096862.5,10029,10106,9124,9656,9124,58882,9124,58882,protein_coding,-1,GL456210.1
ENSMUSG00000079800,ENSMUSG00000079800.3,ENSMUST00000096862,ENSMUST00000096862.5,58595,58882,,,9124,58882,9124,58882,protein_coding,-1,GL456210.1
ENSMUSG00000095092,ENSMUSG00000095092.2,ENSMUST00000177562,ENSMUST00000177562.2,,,,,108390,110303,108390,110303,protein_coding,-1,GL456210.1
ENSMUSG00000095092,ENSMUSG00000095092.2,ENSMUST00000177562,ENSMUST00000177562.2,,,,,108390,110303,108390,110303,protein_coding,-1,GL456210.1
ENSMUSG00000079192,ENSMUSG00000079192.3,ENSMUST00000111364,ENSMUST00000111364.3,,,,,123792,124928,123792,124928,protein_coding,1,GL456210.1
ENSMUSG00000079192,ENSMUSG00000079192.3,ENSMUST00000111364,ENSMUST00000111364.3,,,,,123792,124928,123792,124928,protein_coding,1,GL456210.1
ENSMUSG00000079794,ENSMUSG00000079794.3,ENSMUST00000115931,ENSMUST00000115931.3,,,,,135395,136519,135395,136519,protein_coding,-1,GL456210.1
ENSMUSG00000079794,ENSMUSG00000079794.3,ENSMUST00000115931,ENSMUST00000115931.3,,,,,135395,136519,135395,136519,protein_coding,-1,GL456210.1
ENSMUSG00000079794,ENSMUSG00000079794.3,ENSMUST00000115931,ENSMUST00000115931.3,,,,,135395,136519,135395,136519,protein_coding,-1,GL456210.1
ENSMUSG00000094799,ENSMUSG00000094799.2,ENSMUST00000115928,ENSMUST00000115928.3,,,,,147792,149707,147792,149707,protein_coding,1,GL456210.1
ENSMUSG00000094799,ENSMUSG00000094799.2,ENSMUST00000115928,ENSMUST00000115928.3,,,,,147792,149707,147792,149707,protein_coding,1,GL456210.1
ENSMUSG00000096776,ENSMUSG00000096776.2,ENSMUST00000177783,ENSMUST00000177783.2,,,,,94186,95088,94186,95088,protein_coding,-1,GL456219.1
ENSMUSG00000096244,ENSMUSG00000096244.2,ENSMUST00000177979,ENSMUST00000177979.2,,,,,149261,150163,149261,150163,protein_coding,-1,GL456219.1
ENSMUSG00000094507,ENSMUSG00000094507.2,ENSMUST00000179880,ENSMUST00000179880.2,,,,,74635165,74636247,74635165,74636247,protein_coding,1,Y
ENSMUSG00000094404,ENSMUSG00000094404.2,ENSMUST00000177676,ENSMUST00000177676.2,,,,,76389931,76391013,76389931,76391013,protein_coding,1,Y
ENSMUSG00000094354,ENSMUSG00000094354.2,ENSMUST00000178332,ENSMUST00000178332.2,,,,,40335786,40336868,40335786,40336868,protein_coding,-1,Y
ENSMUSG00000096885,ENSMUSG00000096885.2,ENSMUST00000177579,ENSMUST00000177579.2,,,,,40730568,40731110,40730568,40731110,protein_coding,-1,Y
ENSMUSG00000096120,ENSMUSG00000096120.2,ENSMUST00000178559,ENSMUST00000178559.2,,,,,41361843,41362385,41361843,41362385,protein_coding,1,Y
ENSMUSG00000096850,ENSMUSG00000096850.2,ENSMUST00000179623,ENSMUST00000179623.2,,,,,90850138,90850446,90850138,90850446,protein_coding,-1,Y
ENSMUSG00000094911,ENSMUSG00000094911.2,ENSMUST00000180040,ENSMUST00000180040.2,,,,,24750506,24751588,24750506,24751588,protein_coding,-1,Y
ENSMUSG00000094939,ENSMUSG00000094939.2,ENSMUST00000179355,ENSMUST00000179355.2,,,,,25263623,25264705,25263623,25264705,protein_coding,-1,Y
